Site,window_start,Nutrient,Concentration
MPR,1989-03-21,Mg,1.92
MPR,1989-03-21,K,0.77
MPR,1989-03-21,NO3-N,69
MPR,1989-05-23,NH4-N,NA
MPR,1989-05-23,Ca,6.525
MPR,1989-05-23,Mg,1.965
MPR,1989-05-23,K,0.675
MPR,1989-05-23,NO3-N,58.285714285714285
MPR,1989-07-25,NH4-N,NA
MPR,1989-07-25,Ca,6.252857142857143
MPR,1989-07-25,Mg,1.5783333333333334
MPR,1989-07-25,K,0.6614285714285714
MPR,1989-07-25,NO3-N,73.71428571428571
MPR,1989-09-26,NH4-N,NA
MPR,1989-09-26,Ca,6.906
MPR,1989-09-26,Mg,2.194
MPR,1989-09-26,K,1.21
MPR,1989-09-26,NO3-N,263.5
MPR,1989-11-28,NH4-N,NA
MPR,1989-11-28,Ca,9.15375
MPR,1989-11-28,Mg,2.5187500000000003
MPR,1989-11-28,K,0.9
MPR,1989-11-28,NO3-N,85.85714285714286
MPR,1990-01-30,NH4-N,NA
MPR,1990-01-30,Ca,8.305
MPR,1990-01-30,Mg,2.048888888888889
MPR,1990-01-30,K,1.0855555555555556
MPR,1990-01-30,NO3-N,243.88888888888889
MPR,1990-04-03,NH4-N,NA
MPR,1990-04-03,Ca,9.503333333333334
MPR,1990-04-03,Mg,2.207777777777778
MPR,1990-04-03,K,0.9944444444444445
MPR,1990-04-03,NO3-N,130.11111111111111
MPR,1990-06-05,NH4-N,NA
MPR,1990-06-05,Ca,8.523333333333333
MPR,1990-06-05,Mg,2.0355555555555553
MPR,1990-06-05,K,0.9299999999999999
MPR,1990-06-05,NO3-N,175.66666666666666
MPR,1990-08-07,NH4-N,NA
MPR,1990-08-07,Ca,9.421111111111111
MPR,1990-08-07,Mg,2.1055555555555556
MPR,1990-08-07,K,0.8422222222222222
MPR,1990-08-07,NO3-N,128.88888888888889
MPR,1990-10-09,NH4-N,NA
MPR,1990-10-09,Ca,6.92
MPR,1990-10-09,Mg,1.7955555555555556
MPR,1990-10-09,K,0.7633333333333333
MPR,1990-10-09,NO3-N,142.125
MPR,1990-12-11,NH4-N,NA
MPR,1990-12-11,Ca,7.6322222222222225
MPR,1990-12-11,Mg,2.25
MPR,1990-12-11,K,0.6488888888888888
MPR,1990-12-11,NO3-N,139
MPR,1991-02-12,NH4-N,NA
MPR,1991-02-12,Ca,7.14625
MPR,1991-02-12,Mg,1.9011111111111112
MPR,1991-02-12,K,0.9022222222222223
MPR,1991-02-12,NO3-N,96
MPR,1991-04-16,NH4-N,NA
MPR,1991-04-16,Ca,4.7
MPR,1991-04-16,Mg,0.8314285714285714
MPR,1991-04-16,K,0.7733333333333333
MPR,1991-04-16,NO3-N,55.125
MPR,1991-06-18,NH4-N,NA
MPR,1991-06-18,Ca,6.26
MPR,1991-06-18,Mg,1.96875
MPR,1991-06-18,K,0.77375
MPR,1991-06-18,NO3-N,57.125
MPR,1991-08-20,NH4-N,NA
MPR,1991-08-20,Ca,8.877777777777778
MPR,1991-08-20,Mg,2.4766666666666666
MPR,1991-08-20,K,0.8388888888888889
MPR,1991-08-20,NO3-N,106
MPR,1991-10-22,NH4-N,NA
MPR,1991-10-22,Ca,6.1033333333333335
MPR,1991-10-22,Mg,1.8233333333333335
MPR,1991-10-22,K,0.6577777777777778
MPR,1991-10-22,NO3-N,105.6
MPR,1991-12-24,NH4-N,NA
MPR,1991-12-24,Ca,9.35375
MPR,1991-12-24,Mg,2.17875
MPR,1991-12-24,K,0.8425
MPR,1991-12-24,NO3-N,114.625
MPR,1992-02-25,NH4-N,NA
MPR,1992-02-25,Ca,9.365
MPR,1992-02-25,Mg,2.7511111111111113
MPR,1992-02-25,K,0.9188888888888889
MPR,1992-02-25,NO3-N,107.375
MPR,1992-04-28,NH4-N,NA
MPR,1992-04-28,Ca,7.101111111111111
MPR,1992-04-28,Mg,1.7522222222222221
MPR,1992-04-28,K,0.8366666666666667
MPR,1992-04-28,NO3-N,54.625
MPR,1992-06-30,NH4-N,NA
MPR,1992-06-30,Ca,8.5
MPR,1992-06-30,Mg,2.1577777777777776
MPR,1992-06-30,K,0.7933333333333333
MPR,1992-06-30,NO3-N,43.666666666666664
MPR,1992-09-01,NH4-N,NA
MPR,1992-09-01,Ca,10.154444444444444
MPR,1992-09-01,Mg,2.4855555555555555
MPR,1992-09-01,K,0.9
MPR,1992-09-01,NO3-N,46.44444444444444
MPR,1992-11-03,NH4-N,NA
MPR,1992-11-03,Ca,6.53125
MPR,1992-11-03,Mg,1.5975
MPR,1992-11-03,K,0.62
MPR,1992-11-03,NO3-N,35.166666666666664
MPR,1993-01-05,NH4-N,NA
MPR,1993-01-05,Ca,7.802222222222222
MPR,1993-01-05,Mg,1.981111111111111
MPR,1993-01-05,K,0.7222222222222222
MPR,1993-01-05,NO3-N,78
MPR,1993-03-09,NH4-N,NA
MPR,1993-03-09,Ca,9.028888888888888
MPR,1993-03-09,Mg,2.3055555555555554
MPR,1993-03-09,K,0.8533333333333334
MPR,1993-03-09,NO3-N,80.22222222222223
MPR,1993-05-11,NH4-N,NA
MPR,1993-05-11,Ca,8.234444444444444
MPR,1993-05-11,Mg,2.051111111111111
MPR,1993-05-11,K,0.8077777777777778
MPR,1993-05-11,NO3-N,55.33333333333333
MPR,1993-07-13,NH4-N,NA
MPR,1993-07-13,Ca,8.455
MPR,1993-07-13,Mg,1.97375
MPR,1993-07-13,K,0.8075
MPR,1993-07-13,NO3-N,50.75
MPR,1993-09-14,NH4-N,NA
MPR,1993-09-14,Ca,7.8822222222222225
MPR,1993-09-14,Mg,1.9444444444444444
MPR,1993-09-14,K,0.6866666666666666
MPR,1993-09-14,NO3-N,38.888888888888886
MPR,1993-11-16,NH4-N,NA
MPR,1993-11-16,Ca,6.6
MPR,1993-11-16,Mg,1.5222222222222221
MPR,1993-11-16,K,0.5988888888888889
MPR,1993-11-16,NO3-N,33.2
MPR,1994-01-18,NH4-N,NA
MPR,1994-01-18,Ca,8
MPR,1994-01-18,Mg,1.8822222222222222
MPR,1994-01-18,K,0.6366666666666667
MPR,1994-01-18,NO3-N,6.333333333333333
MPR,1994-03-22,NH4-N,NA
MPR,1994-03-22,Ca,9.256666666666666
MPR,1994-03-22,Mg,2.1155555555555554
MPR,1994-03-22,K,0.7588888888888888
MPR,1994-03-22,NO3-N,18.4
MPR,1994-05-24,NH4-N,NA
MPR,1994-05-24,Ca,8.94111111111111
MPR,1994-05-24,Mg,2.3544444444444443
MPR,1994-05-24,K,0.8277777777777777
MPR,1994-05-24,NO3-N,24.75
MPR,1994-07-26,NH4-N,NA
MPR,1994-07-26,Ca,9.212222222222222
MPR,1994-07-26,Mg,2.428888888888889
MPR,1994-07-26,K,0.8722222222222222
MPR,1994-07-26,NO3-N,179
MPR,1994-09-27,NH4-N,NA
MPR,1994-09-27,Ca,8.956666666666667
MPR,1994-09-27,Mg,1.93
MPR,1994-09-27,K,0.7644444444444445
MPR,1994-09-27,NO3-N,NA
MPR,1994-11-29,NH4-N,NA
MPR,1994-11-29,Ca,8.879999999999999
MPR,1994-11-29,Mg,2.256666666666667
MPR,1994-11-29,K,0.7111111111111111
MPR,1994-11-29,NO3-N,43
